Time (seconds),Pressure (psi),Mass Generated Overall (lbm),Mass Generated by grain: 0,Port to Throat by port: 0,Mass Flow per grain: 0,Mass Flow per grain: 1,Mass Flow per grain: 2,Burn Area (in^2),Burn Rate (in /sec),KN (),L Star (in),Mass of the System (lbm),Center of Gravity (inches)
1.0,-135.271992,0.0,0.0,4.818104020324,0.0,0.0,0.0,29.059732045705587,0.097509,37.0,19.680188576378228,1.0,0.0
2.0,-131.33142460327235,0.0,0.0,5.717332941842516,0.0,0.0,0.0,30.195455441202842,0.09803825354568425,38.446047939028,23.511248294897648,1.0,0.0
3.0,-127.99637796960397,0.0,0.0,6.698090110831911,0.0,0.0,0.0,31.15665978199827,0.09848618022176574,39.66989131629983,27.469198912262986,1.0,0.0
4.0,-125.2790143513777,0.0,0.0,7.760509816106708,0.0,0.0,0.0,31.93983974685701,0.09885114652866203,40.667067018202275,31.529015845106898,1.0,0.0
5.0,-123.18947446317028,0.0,0.0,8.904451402625249,0.0,0.0,0.0,32.54207264835049,0.09913179047744992,41.43385376352437,35.66481708461382,1.0,0.0
6.0,-121.73579976410574,0.0,0.0,9.0,0.0,0.0,0.0,32.961040832105205,0.09932703202804243,41.96730062306674,36.0,1.0,0.0
